expression	reading	keep	example_sentence	note
×	ばつ	yes	答えに×をつけた。	None
いつ	いつ	yes	いつ来ますか。	None
うち	うち	yes	うちに帰ります。	None
すっと	すっと	yes	彼はすっと立ち上がった。	None
すり	すり	yes	電車ですりに気をつけて。	None
する	する	yes	写真をTシャツにする。	None
ずっと	ずっと	yes	ずっと待っていました。	None
ずれる	ずれる	yes	時計が少しずれている。	None
そう	そう	yes	そう、その通りです。	None
そっと	そっと	yes	そっとドアを閉めた。	None
ちょうだい	ちょうだい	yes	お水ちょうだい。	None
ちょっと	ちょっと	yes	ちょっと待ってください。	None
はず	はず	no		grammatical/formal noun, only used with modifiers (〜はず)
まず	まず	yes	まず手を洗ってください。	None
もし	もし	yes	もし雨なら、行きません。	None
シャツ	シャツ	yes	白いシャツを買った。	None
バス	バス	yes	バスで学校に行く。	None
ミス	ミス	yes	ミスをしてしまった。	None
一	いち	yes	一から始めよう。	None
一層	いっそう	yes	一層がんばります。	None
一生	いっしょう	yes	一生忘れません。	None
七	しち	yes	七時に起きます。	None
丈夫	じょうぶ	yes	この机は丈夫です。	None
上	じょう	no		bound morpheme; standalone uses 上(うえ) or compounds
上司	じょうし	yes	上司に相談しました。	None
上品	じょうひん	yes	彼女は上品な人です。	None
上等	じょうとう	yes	これは上等なワインだ。	None
不足	ふそく	yes	睡眠が不足しています。	None
中	ちゅう	no		bound morpheme/suffix; standalone middle is 中(なか)
中世	ちゅうせい	yes	中世のお城を見学した。	None
中学	ちゅうがく	yes	弟は中学に通っています。	None
中心	ちゅうしん	yes	町の中心に駅がある。	None
中性	ちゅうせい	yes	この洗剤は中性です。	None
中止	ちゅうし	yes	試合は中止になった。	None
中間	ちゅうかん	yes	中間テストがあります。	None
主張	しゅちょう	yes	彼は自分の主張を曲げない。	None
主義	しゅぎ	yes	私の主義に反する。	None
主要	しゅよう	yes	主要なメンバーが集まった。	None
乗車	じょうしゃ	yes	乗車の際は切符が必要です。	None
乾燥	かんそう	yes	空気が乾燥している。	None
事件	じけん	yes	大きな事件が起きた。	None
交差	こうさ	no		usually appears as 交差点 or サ変動詞; rarely standalone noun
交通	こうつう	yes	交通が便利です。	None
人口	じんこう	yes	この町の人口は少ない。	None
人工	じんこう	yes	これは人工の湖です。	None
人生	じんせい	yes	人生は短い。	None
人造	じんぞう	no		bound modifier; standalone use rare, appears in 人造湖/人造人間
人類	じんるい	yes	人類の歴史は長い。	None
付く	つく	yes	服に泥が付いた。	None
付属	ふぞく	yes	付属の説明書を読んでください。	None
会場	かいじょう	yes	会場はどこですか。	None
位置	いち	yes	地図で位置を確認する。	None
住	じゅう	no		bound morpheme; standalone is 住む or compound 住所
住む	すむ	yes	東京に住んでいます。	None
体操	たいそう	yes	毎朝体操をします。	None
価値	かち	yes	この本には価値がある。	None
信仰	しんこう	yes	彼は強い信仰を持っている。	None
修正	しゅうせい	yes	文章を修正しました。	None
修飾	しゅうしょく	no		technical grammar/literary term, rarely used standalone in simple speech
像	ぞう	no		bound morpheme; standalone uses 銅像/想像 etc.
僧	そう	no		bound; usually お坊さん in speech
優勝	ゆうしょう	yes	日本が優勝した。	None
先週	せんしゅう	yes	先週京都に行きました。	None
児童	じどう	yes	児童が公園で遊んでいる。	None
全	ぜん	no		bound morpheme; standalone form needs 全部/全て
全集	ぜんしゅう	yes	夏目漱石の全集を買った。	None
八	はち	yes	八時に会いましょう。	None
公衆	こうしゅう	yes	公衆の前で話すのは緊張する。	None
内	うち	yes	うちの中で遊ぶ。	None
再三	さいさん	yes	再三注意したのに。	None
初～	しょ～	no		prefix only
刷る	する	yes	ポスターを刷る。	None
刺す	さす	yes	蜂に刺された。	None
劇場	げきじょう	yes	劇場で映画を見た。	None
加速	かそく	yes	車が加速した。	None
動詞	どうし	yes	この動詞の意味を教えてください。	None
勘定	かんじょう	yes	お勘定をお願いします。	None
勝ち	かち	yes	今日は勝ちだ。	None
勝つ	かつ	yes	試合に勝ちました。	None
勝負	しょうぶ	yes	勝負に勝った。	None
包丁	ほうちょう	yes	包丁で野菜を切る。	None
包装	ほうそう	yes	包装をお願いします。	None
医師	いし	yes	医師に相談してください。	None
十	じゅう	yes	十まで数えてください。	None
千	せん	yes	千円ください。	None
協調	きょうちょう	yes	協調が大切です。	None
友情	ゆうじょう	yes	友情は大切です。	None
口	くち	yes	口を開けてください。	None
司会	しかい	yes	司会を務めます。	None
各地	かくち	yes	各地で雪が降った。	None
各自	かくじ	yes	各自で持ってきてください。	None
吊る	つる	yes	服をハンガーに吊る。	None
同士	どうし	no		suffix-like, attaches to nouns (友達同士 etc.)
同志	どうし	yes	彼は私の同志です。	None
同時	どうじ	yes	二人は同時に答えました。	None
名人	めいじん	yes	彼は将棋の名人だ。	None
吸う	すう	yes	深く息を吸う。	None
周囲	しゅうい	yes	周囲を見回した。	None
味	あじ	yes	この味が好きです。	None
商品	しょうひん	yes	この商品は人気があります。	None
商店	しょうてん	yes	駅前の商店で買った。	None
商社	しょうしゃ	yes	商社で働いています。	None
善	ぜん	no		bound/abstract; standalone use is literary, normally in compounds 善悪/最善
四	し	yes	四と四で八になる。	None
四季	しき	yes	日本には四季がある。	None
四角	しかく	yes	紙を四角に切る。	None
回数	かいすう	yes	回数を数える。	None
団地	だんち	yes	祖母は団地に住んでいる。	None
図	ず	yes	図を見てください。	None
土地	とち	yes	この土地は高い。	None
地	ち	no		bound morpheme; standalone use rare, appears in 土地/地面
地区	ちく	yes	この地区は静かだ。	None
地名	ちめい	yes	地名を覚えるのは難しい。	None
地帯	ちたい	no		bound; appears in 安全地帯 etc., not standalone
地点	ちてん	yes	この地点で待ち合わせよう。	None
地球	ちきゅう	yes	地球は丸い。	None
地理	ちり	yes	地理の勉強が好きです。	None
基地	きち	yes	米軍の基地がある。	None
境	さかい	yes	県の境を越えました。	None
増す	ます	yes	川の水が増す。	None
増加	ぞうか	yes	人口が増加している。	None
増大	ぞうだい	yes	人口が増大している。	None
墨	すみ	yes	墨で字を書く。	None
夏	なつ	yes	夏は暑いです。	None
夢中	むちゅう	yes	ゲームに夢中になる。	None
大層	たいそう	yes	大層喜んでいた。	None
失礼	しつれい	yes	失礼します。	None
女～	じょ～	no		prefix only
好き	すき	yes	犬が好きです。	None
姓	せい	no		bound/formal; standalone use rare, usually 名字
字	じ	yes	字をきれいに書く。	None
字体	じたい	yes	この字体は読みにくい。	None
官庁	かんちょう	yes	官庁で働いている。	None
定規	じょうぎ	yes	定規で線を引く。	None
実例	じつれい	yes	実例を挙げてください。	None
家事	かじ	yes	毎日家事をしている。	None
家族	かぞく	yes	家族と旅行に行く。	None
密	みつ	yes	人と人との接触が密になる。	None
対照	たいしょう	yes	二つを対照する。	None
対象	たいしょう	yes	子供を対象にした本です。	None
射す	さす	no		rare/literary; usually 光が差す uses 差す
将棋	しょうぎ	yes	父と将棋を指す。	None
小	しょう	no		bound morpheme; standalone use only in set phrases
小説	しょうせつ	yes	面白い小説を読んだ。	None
少々	しょうしょう	yes	少々お待ちください。	None
少女	しょうじょ	yes	少女が公園で遊んでいる。	None
就く	つく	yes	新しい仕事に就いた。	None
就職	しゅうしょく	yes	来年就職します。	None
尻	しり	yes	尻が痛い。	None
