level	expression	reading	hard_morae	meaning	tags
3	作法	さほう	さ	manners, etiquette, propriety	JLPT JLPT_2 JLPT_3
3	様々	さまざま	さ,ざ	varied, various	JLPT JLPT_2 JLPT_3
3	冷ます	さます	さ,す	to cool, to let cool	JLPT JLPT_2 JLPT_3
3	覚ます	さます	さ,す	to awaken	JLPT JLPT_2 JLPT_3
3	冷める	さめる	さ	to become cool, to wear off	JLPT JLPT_2 JLPT_3
3	覚める	さめる	さ	to wake, to wake up	JLPT JLPT_2 JLPT_3
3	左右	さゆう	さ	left and right; influence	JLPT JLPT_2 JLPT_3
3	皿	さら	さ	plate, dish	JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki
3	更に	さらに	さ	furthermore, moreover	JLPT JLPT_2 JLPT_3
3	去る	さる	さ	to leave, to go away	JLPT JLPT_2 JLPT_3
3	猿	さる	さ	monkey	JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
3	騒ぎ	さわぎ	さ	uproar, disturbance	JLPT JLPT_2 JLPT_3
3	参加	さんか	さ	participation	JLPT JLPT_2 JLPT_3
3	参考	さんこう	さ	reference, consultation	JLPT JLPT_2 JLPT_3
3	賛成	さんせい	さ,せ	approval, agreement	JLPT JLPT_2 JLPT_3
3	酸性	さんせい	さ,せ	acidity	JLPT JLPT_2 JLPT_3
3	酸素	さんそ	さ,そ	oxygen	JLPT JLPT_2 JLPT_3
3	氏	し	し	family name, lineage	JLPT JLPT_2 JLPT_3
3	詩	し	し	poem; poetry	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
3	幸せ	しあわせ	し,せ	happiness, blessing	JLPT JLPT_2 JLPT_3
3	ジーンズ	ジーンズ	じ,ず	jeans	JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki
3	四角	しかく	し	square	JLPT JLPT_2 JLPT_3
3	直に	じかに	じ	immediately, readily, directly	JLPT JLPT_2 JLPT_3
3	しかも	しかも	し	moreover, furthermore, besides, plus	JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2
3	四季	しき	し	four seasons	JLPT JLPT_2 JLPT_3
3	直	じき	じ	immediately, soon, shortly	JLPT JLPT_2 JLPT_3
3	時期	じき	じ	time, season, period	JLPT JLPT_2 JLPT_3
3	支給	しきゅう	し	payment, allowance	JLPT JLPT_2 JLPT_3
