seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora	seed_example	partner_example
3	一層	いっそう	3	一生	いっしょう	2	そ	しょ	一層がんばります。	一生忘れません。
3	上等	じょうとう	3	相当	そうとう	0	じょ	そ	これは上等なワインだ。	相当疲れている。
3	中学	ちゅうがく	3	通学	つうがく	0	ちゅ	つ	弟は中学に通っています。	毎日電車で通学している。
3	中学	ちゅうがく	4	数学	すうがく	0	ちゅ	す	弟は中学に通っています。	数学が好きだ。
3	中心	ちゅうしん	3	通信	つうしん	0	ちゅ	つ	町の中心に駅がある。	通信が途切れた。
3	乾燥	かんそう	3	勘定	かんじょう	2	そ	じょ	空気が乾燥している。	お勘定をお願いします。
3	乾燥	かんそう	3	感情	かんじょう	2	そ	じょ	空気が乾燥している。	感情を抑える。
3	人工	じんこう	3	信仰	しんこう	0	じ	し	これは人工の湖です。	彼は強い信仰を持っている。
3	人工	じんこう	3	振興	しんこう	0	じ	し	これは人工の湖です。	地域の振興を図る。
3	人工	じんこう	3	進行	しんこう	0	じ	し	これは人工の湖です。	工事が進行している。
3	信仰	しんこう	4	人口	じんこう	0	し	じ	彼は強い信仰を持っている。	この町の人口は少ない。
3	優勝	ゆうしょう	3	友情	ゆうじょう	2	しょ	じょ	日本が優勝した。	友情は大切です。
3	勘定	かんじょう	3	感想	かんそう	2	じょ	そ	お勘定をお願いします。	感想を聞かせてください。
3	協調	きょうちょう	4	競争	きょうそう	2	ちょ	そ	協調が大切です。	徒競走で競争した。
3	少々	しょうしょう	3	症状	しょうじょう	2	しょ	じょ	少々お待ちください。	症状を医者に話す。
3	就職	しゅうしょく	3	昼食	ちゅうしょく	0	しゅ	ちゅ	来年就職します。	昼食を食べました。
3	強調	きょうちょう	4	競争	きょうそう	2	ちょ	そ	安全を強調した。	徒競走で競争した。
3	心臓	しんぞう	3	慎重	しんちょう	2	ぞ	ちょ	心臓がドキドキする。	慎重に運転する。
3	心臓	しんぞう	3	身長	しんちょう	2	ぞ	ちょ	心臓がドキドキする。	身長を測る。
3	感情	かんじょう	3	感想	かんそう	2	じょ	そ	感情を抑える。	感想を聞かせてください。
3	成人	せいじん	3	精神	せいしん	2	じ	し	来年成人になります。	精神を集中する。
3	成長	せいちょう	3	製造	せいぞう	2	ちょ	ぞ	子供の成長が早い。	車を製造する工場です。
3	振興	しんこう	4	人口	じんこう	0	し	じ	地域の振興を図る。	この町の人口は少ない。
3	採集	さいしゅう	3	最中	さいちゅう	2	しゅ	ちゅ	昆虫の採集が趣味です。	食事の最中です。
